source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined
DEU_JPGG,20-03-2020,Germany,DEU,Niedersachsen,,,,1262,,,,,
DEU_JPGG,21-03-2020,Germany,DEU,Brandenburg,,,,315,,1,,,
DEU_JPGG,21-03-2020,Germany,DEU,Bayern,,,,3695,,21,,,
DEU_JPGG,21-03-2020,Germany,DEU,Saarland,,,,217,,,,,
DEU_JPGG,21-03-2020,Germany,DEU,Sachsen,,,,650,,1,,,
DEU_JPGG,21-03-2020,Germany,DEU,Sachsen-Anhalt,,,,253,,,,,
DEU_JPGG,21-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,6740,,24,,,
DEU_JPGG,21-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,182,,,,,
DEU_JPGG,21-03-2020,Germany,DEU,Baden-Württemberg,,,,3818,,23,,,
DEU_JPGG,21-03-2020,Germany,DEU,Niedersachsen,,,,1452,,4,,,
DEU_JPGG,21-03-2020,Germany,DEU,Rheinland-Pfalz,,,,1062,,2,,,
DEU_JPGG,21-03-2020,Germany,DEU,Berlin,,,,1025,,1,,,
DEU_JPGG,21-03-2020,Germany,DEU,Hamburg,,,,768,,1,,,
DEU_JPGG,21-03-2020,Germany,DEU,Schleswig-Holstein,,,,383,,1,,,
DEU_JPGG,21-03-2020,Germany,DEU,Bremen,,,,168,,,,,
DEU_JPGG,21-03-2020,Germany,DEU,Hessen,,,,1166,,2,,,
DEU_JPGG,21-03-2020,Germany,DEU,Thüringen,,,,207,,,,,
DEU_JPGG,22-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,182,,,,,
DEU_JPGG,22-03-2020,Germany,DEU,Bremen,,,,168,,,,,
DEU_JPGG,22-03-2020,Germany,DEU,Hamburg,,,,887,,1,,,
DEU_JPGG,22-03-2020,Germany,DEU,Rheinland-Pfalz,,,,1149,,2,,,
DEU_JPGG,22-03-2020,Germany,DEU,Sachsen-Anhalt,,,,269,,,,,
DEU_JPGG,22-03-2020,Germany,DEU,Niedersachsen,,,,1586,,4,,,
DEU_JPGG,22-03-2020,Germany,DEU,Brandenburg,,,,353,,1,,,
DEU_JPGG,22-03-2020,Germany,DEU,Berlin,,,,1071,,1,,,
DEU_JPGG,22-03-2020,Germany,DEU,Sachsen,,,,731,,1,,,
DEU_JPGG,22-03-2020,Germany,DEU,Bayern,,,,4457,,22,,,
DEU_JPGG,22-03-2020,Germany,DEU,Saarland,,,,301,,1,,,
DEU_JPGG,22-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,7361,,32,,,
DEU_JPGG,22-03-2020,Germany,DEU,Baden-Württemberg,,,,3818,,23,,,
DEU_JPGG,22-03-2020,Germany,DEU,Thüringen,,,,237,,,,,
DEU_JPGG,22-03-2020,Germany,DEU,Schleswig-Holstein,,,,436,,1,,,
DEU_JPGG,22-03-2020,Germany,DEU,Hessen,,,,1267,,3,,,
DEU_JPGG,23-03-2020,Germany,DEU,Saarland,,,,383,,1,,,
DEU_JPGG,23-03-2020,Germany,DEU,Thüringen,,,,263,,1,,,
DEU_JPGG,23-03-2020,Germany,DEU,Berlin,,,,1219,,2,,,
DEU_JPGG,23-03-2020,Germany,DEU,Sachsen,,,,865,,3,,,
DEU_JPGG,23-03-2020,Germany,DEU,Bayern,,,,5719,,27,,,
DEU_JPGG,23-03-2020,Germany,DEU,Sachsen-Anhalt,,,,303,,1,,,
DEU_JPGG,23-03-2020,Germany,DEU,Baden-Württemberg,,,,5333,,31,,,
DEU_JPGG,23-03-2020,Germany,DEU,Hamburg,,,,989,,1,,,
DEU_JPGG,23-03-2020,Germany,DEU,Bremen,,,,175,,,,,
DEU_JPGG,23-03-2020,Germany,DEU,Rheinland-Pfalz,,,,1285,,4,,,
DEU_JPGG,23-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,201,,,,,
DEU_JPGG,23-03-2020,Germany,DEU,Hessen,,,,1352,,3,,,
DEU_JPGG,23-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,8224,,40,,,
DEU_JPGG,23-03-2020,Germany,DEU,Schleswig-Holstein,,,,467,,1,,,
DEU_JPGG,23-03-2020,Germany,DEU,Niedersachsen,,,,1779,,6,,,
DEU_JPGG,23-03-2020,Germany,DEU,Brandenburg,,,,385,,1,,,
DEU_JPGG,24-03-2020,Germany,DEU,Bremen,,,,186,,,,,
DEU_JPGG,24-03-2020,Germany,DEU,Hamburg,,,,1237,,1,,,
DEU_JPGG,24-03-2020,Germany,DEU,Hessen,,,,1682,,4,,,
DEU_JPGG,24-03-2020,Germany,DEU,Saarland,,,,402,,1,,,
DEU_JPGG,24-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,219,,,,,
DEU_JPGG,24-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,8981,,53,,,
DEU_JPGG,24-03-2020,Germany,DEU,Schleswig-Holstein,,,,552,,2,,,
DEU_JPGG,24-03-2020,Germany,DEU,Sachsen,,,,1036,,1,,,
DEU_JPGG,24-03-2020,Germany,DEU,Thüringen,,,,413,,1,,,
DEU_JPGG,24-03-2020,Germany,DEU,Berlin,,,,1425,,3,,,
DEU_JPGG,24-03-2020,Germany,DEU,Niedersachsen,,,,2110,,6,,,
DEU_JPGG,24-03-2020,Germany,DEU,Sachsen-Anhalt,,,,365,,1,,,
DEU_JPGG,24-03-2020,Germany,DEU,Bayern,,,,6666,,32,,,
DEU_JPGG,24-03-2020,Germany,DEU,Brandenburg,,,,466,,1,,,
DEU_JPGG,24-03-2020,Germany,DEU,Baden-Württemberg,,,,6476,,32,,,
DEU_JPGG,24-03-2020,Germany,DEU,Rheinland-Pfalz,,,,1640,,6,,,
DEU_JPGG,25-03-2020,Germany,DEU,Brandenburg,,,,516,,1,,,
DEU_JPGG,25-03-2020,Germany,DEU,Bremen,,,,203,,,,,
DEU_JPGG,25-03-2020,Germany,DEU,Sachsen,,,,1128,,3,,,
DEU_JPGG,25-03-2020,Germany,DEU,Saarland,,,,437,,3,,,
DEU_JPGG,25-03-2020,Germany,DEU,Hessen,,,,1941,,7,,,
DEU_JPGG,25-03-2020,Germany,DEU,Niedersachsen,,,,2373,,8,,,
DEU_JPGG,25-03-2020,Germany,DEU,Bayern,,,,7921,,38,,,
DEU_JPGG,25-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,227,,,,,
DEU_JPGG,25-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,9734,,66,,,
DEU_JPGG,25-03-2020,Germany,DEU,Baden-Württemberg,,,,7285,,42,,,
DEU_JPGG,25-03-2020,Germany,DEU,Sachsen-Anhalt,,,,418,,1,,,
DEU_JPGG,25-03-2020,Germany,DEU,Schleswig-Holstein,,,,611,,2,,,
DEU_JPGG,25-03-2020,Germany,DEU,Thüringen,,,,466,,1,,,
DEU_JPGG,25-03-2020,Germany,DEU,Hamburg,,,,1450,,1,,,
DEU_JPGG,25-03-2020,Germany,DEU,Rheinland-Pfalz,,,,1814,,5,,,
DEU_JPGG,25-03-2020,Germany,DEU,Berlin,,,,1425,,3,,,
DEU_JPGG,26-03-2020,Germany,DEU,Bayern,,,,9487,,51,,,
DEU_JPGG,26-03-2020,Germany,DEU,Rheinland-Pfalz,,,,2063,,8,,,
DEU_JPGG,26-03-2020,Germany,DEU,Hessen,,,,2195,,7,,,
DEU_JPGG,26-03-2020,Germany,DEU,Sachsen-Anhalt,,,,493,,2,,,
DEU_JPGG,26-03-2020,Germany,DEU,Sachsen,,,,1360,,5,,,
DEU_JPGG,26-03-2020,Germany,DEU,Baden-Württemberg,,,,8580,,83,,,
DEU_JPGG,26-03-2020,Germany,DEU,Brandenburg,,,,569,,1,,,
DEU_JPGG,26-03-2020,Germany,DEU,Berlin,,,,1937,,8,,,
DEU_JPGG,26-03-2020,Germany,DEU,Hamburg,,,,1614,,2,,,
DEU_JPGG,26-03-2020,Germany,DEU,Niedersachsen,,,,2715,,10,,,
DEU_JPGG,26-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,10737,,74,,,
DEU_JPGG,26-03-2020,Germany,DEU,Saarland,,,,466,,3,,,
DEU_JPGG,26-03-2020,Germany,DEU,Schleswig-Holstein,,,,705,,3,,,
DEU_JPGG,26-03-2020,Germany,DEU,Thüringen,,,,558,,3,,,
